,phase,8949170_q,8949170_w,-164126513_q,-164126513_w,52016249_q,52016249_w,-164126511_q,-164126511_w,stateNum
183,0,0,0,0,2,0,2,1,0,183
184,0,0,0,0,2,0,2,1,1,184
185,0,0,0,0,2,0,2,1,2,185
186,0,0,0,0,2,0,2,2,0,186
187,0,0,0,0,2,0,2,2,1,187
188,0,0,0,0,2,0,2,2,2,188
189,0,0,0,0,2,1,0,0,0,189
190,0,0,0,0,2,1,0,0,1,190
191,0,0,0,0,2,1,0,0,2,191
192,0,0,0,0,2,1,0,1,0,192
193,0,0,0,0,2,1,0,1,1,193
194,0,0,0,0,2,1,0,1,2,194
195,0,0,0,0,2,1,0,2,0,195
196,0,0,0,0,2,1,0,2,1,196
197,0,0,0,0,2,1,0,2,2,197
198,0,0,0,0,2,1,1,0,0,198
199,0,0,0,0,2,1,1,0,1,199
200,0,0,0,0,2,1,1,0,2,200
201,0,0,0,0,2,1,1,1,0,201
202,0,0,0,0,2,1,1,1,1,202
203,0,0,0,0,2,1,1,1,2,203
204,0,0,0,0,2,1,1,2,0,204
205,0,0,0,0,2,1,1,2,1,205
206,0,0,0,0,2,1,1,2,2,206
207,0,0,0,0,2,1,2,0,0,207
208,0,0,0,0,2,1,2,0,1,208
209,0,0,0,0,2,1,2,0,2,209
210,0,0,0,0,2,1,2,1,0,210
211,0,0,0,0,2,1,2,1,1,211
212,0,0,0,0,2,1,2,1,2,212
213,0,0,0,0,2,1,2,2,0,213
214,0,0,0,0,2,1,2,2,1,214
215,0,0,0,0,2,1,2,2,2,215
216,0,0,0,0,2,2,0,0,0,216
217,0,0,0,0,2,2,0,0,1,217
218,0,0,0,0,2,2,0,0,2,218
219,0,0,0,0,2,2,0,1,0,219
220,0,0,0,0,2,2,0,1,1,220
221,0,0,0,0,2,2,0,1,2,221
222,0,0,0,0,2,2,0,2,0,222
223,0,0,0,0,2,2,0,2,1,223
224,0,0,0,0,2,2,0,2,2,224
225,0,0,0,0,2,2,1,0,0,225
226,0,0,0,0,2,2,1,0,1,226
227,0,0,0,0,2,2,1,0,2,227
228,0,0,0,0,2,2,1,1,0,228
229,0,0,0,0,2,2,1,1,1,229
230,0,0,0,0,2,2,1,1,2,230
231,0,0,0,0,2,2,1,2,0,231
232,0,0,0,0,2,2,1,2,1,232
233,0,0,0,0,2,2,1,2,2,233
234,0,0,0,0,2,2,2,0,0,234
235,0,0,0,0,2,2,2,0,1,235
236,0,0,0,0,2,2,2,0,2,236
237,0,0,0,0,2,2,2,1,0,237
238,0,0,0,0,2,2,2,1,1,238
239,0,0,0,0,2,2,2,1,2,239
240,0,0,0,0,2,2,2,2,0,240
241,0,0,0,0,2,2,2,2,1,241
242,0,0,0,0,2,2,2,2,2,242
243,0,0,0,1,0,0,0,0,0,243
244,0,0,0,1,0,0,0,0,1,244
245,0,0,0,1,0,0,0,0,2,245
246,0,0,0,1,0,0,0,1,0,246
247,0,0,0,1,0,0,0,1,1,247
248,0,0,0,1,0,0,0,1,2,248
249,0,0,0,1,0,0,0,2,0,249
250,0,0,0,1,0,0,0,2,1,250
251,0,0,0,1,0,0,0,2,2,251
252,0,0,0,1,0,0,1,0,0,252
253,0,0,0,1,0,0,1,0,1,253
254,0,0,0,1,0,0,1,0,2,254
255,0,0,0,1,0,0,1,1,0,255
256,0,0,0,1,0,0,1,1,1,256
257,0,0,0,1,0,0,1,1,2,257
258,0,0,0,1,0,0,1,2,0,258
259,0,0,0,1,0,0,1,2,1,259
260,0,0,0,1,0,0,1,2,2,260
261,0,0,0,1,0,0,2,0,0,261
262,0,0,0,1,0,0,2,0,1,262
263,0,0,0,1,0,0,2,0,2,263
264,0,0,0,1,0,0,2,1,0,264
265,0,0,0,1,0,0,2,1,1,265
266,0,0,0,1,0,0,2,1,2,266
267,0,0,0,1,0,0,2,2,0,267
268,0,0,0,1,0,0,2,2,1,268
269,0,0,0,1,0,0,2,2,2,269
270,0,0,0,1,0,1,0,0,0,270
271,0,0,0,1,0,1,0,0,1,271
272,0,0,0,1,0,1,0,0,2,272
273,0,0,0,1,0,1,0,1,0,273
274,0,0,0,1,0,1,0,1,1,274
275,0,0,0,1,0,1,0,1,2,275
276,0,0,0,1,0,1,0,2,0,276
277,0,0,0,1,0,1,0,2,1,277
278,0,0,0,1,0,1,0,2,2,278
279,0,0,0,1,0,1,1,0,0,279
280,0,0,0,1,0,1,1,0,1,280
281,0,0,0,1,0,1,1,0,2,281
282,0,0,0,1,0,1,1,1,0,282
283,0,0,0,1,0,1,1,1,1,283
284,0,0,0,1,0,1,1,1,2,284
285,0,0,0,1,0,1,1,2,0,285
286,0,0,0,1,0,1,1,2,1,286
287,0,0,0,1,0,1,1,2,2,287
288,0,0,0,1,0,1,2,0,0,288
289,0,0,0,1,0,1,2,0,1,289
290,0,0,0,1,0,1,2,0,2,290
291,0,0,0,1,0,1,2,1,0,291
292,0,0,0,1,0,1,2,1,1,292
293,0,0,0,1,0,1,2,1,2,293
294,0,0,0,1,0,1,2,2,0,294
295,0,0,0,1,0,1,2,2,1,295
296,0,0,0,1,0,1,2,2,2,296
297,0,0,0,1,0,2,0,0,0,297
298,0,0,0,1,0,2,0,0,1,298
299,0,0,0,1,0,2,0,0,2,299
300,0,0,0,1,0,2,0,1,0,300
301,0,0,0,1,0,2,0,1,1,301
302,0,0,0,1,0,2,0,1,2,302
303,0,0,0,1,0,2,0,2,0,303
304,0,0,0,1,0,2,0,2,1,304
305,0,0,0,1,0,2,0,2,2,305
306,0,0,0,1,0,2,1,0,0,306
307,0,0,0,1,0,2,1,0,1,307
308,0,0,0,1,0,2,1,0,2,308
309,0,0,0,1,0,2,1,1,0,309
310,0,0,0,1,0,2,1,1,1,310
311,0,0,0,1,0,2,1,1,2,311
312,0,0,0,1,0,2,1,2,0,312
313,0,0,0,1,0,2,1,2,1,313
314,0,0,0,1,0,2,1,2,2,314
315,0,0,0,1,0,2,2,0,0,315
316,0,0,0,1,0,2,2,0,1,316
317,0,0,0,1,0,2,2,0,2,317
318,0,0,0,1,0,2,2,1,0,318
319,0,0,0,1,0,2,2,1,1,319
320,0,0,0,1,0,2,2,1,2,320
321,0,0,0,1,0,2,2,2,0,321
322,0,0,0,1,0,2,2,2,1,322
323,0,0,0,1,0,2,2,2,2,323
324,0,0,0,1,1,0,0,0,0,324
325,0,0,0,1,1,0,0,0,1,325
326,0,0,0,1,1,0,0,0,2,326
327,0,0,0,1,1,0,0,1,0,327
328,0,0,0,1,1,0,0,1,1,328
329,0,0,0,1,1,0,0,1,2,329
330,0,0,0,1,1,0,0,2,0,330
331,0,0,0,1,1,0,0,2,1,331
332,0,0,0,1,1,0,0,2,2,332
333,0,0,0,1,1,0,1,0,0,333
334,0,0,0,1,1,0,1,0,1,334
